# energy d(up) d(down)
-9.856675992000000974e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.854815992000000335e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.852955992000001118e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.851085992000000147e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.849225992000000929e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.847355991999999958e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.845495992000000740e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.843635992000000101e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.841765992000000551e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.839905991999999912e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.838035992000000363e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.836175992000001145e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.834315992000000506e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.832445992000000956e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.830585992000000317e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.828715992000000767e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.826855992000000128e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.824995992000000911e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.823125991999999940e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.821265992000000722e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.819395992000001172e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.817535992000000533e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.815675991999999894e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.813805992000000344e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.811945992000001127e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.810085992000000488e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.808215992000000938e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.806355992000000299e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.804485992000000749e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.802625992000000110e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.800765992000000892e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.798895991999999922e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.797035992000000704e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.795165992000001154e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.793305992000000515e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.791445991999999876e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.789575992000000326e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.787715992000001108e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.785845992000000138e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.783985992000000920e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.782125992000000281e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.780255992000000731e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.778395992000000092e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.776525992000000542e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.774665991999999903e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.772805992000000685e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.770935992000001136e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.769075992000000497e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.767205992000000947e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.765345992000000308e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.763485992000001090e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.761615992000000119e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.759755992000000901e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.757895992000000263e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.756025992000000713e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.754165992000000074e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.752295992000000524e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.750435991999999885e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.748575992000000667e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.746705992000001118e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.744845992000000479e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.742975992000000929e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.741115992000000290e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.739255992000001072e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.737385992000000101e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.735525992000000883e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.733655991999999912e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.731795992000000695e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.729935992000000056e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.728065992000000506e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.726205991999999867e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.724335992000000317e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.722475992000001099e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.720615992000000460e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.718745992000000911e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.716885992000000272e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.715015992000000722e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.713155992000000083e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.711295992000000865e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.709425991999999894e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.707565992000000676e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.705705992000000037e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.703835992000000488e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.701975991999999849e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.700105992000000299e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.698245992000001081e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.696385992000000442e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.694515992000000892e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.692655992000000253e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.690785992000000704e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.688925992000000065e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.687065992000000847e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.685195991999999876e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.683335992000000658e+01 0.000000000000000000e+00 -0.000000000000000000e+00
