# energy dos(up) dos(down)
-9.954384385000000179e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.952464385000000391e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.950534385000000270e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.948604385000000150e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.946684385000000361e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.944754385000000241e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.942824385000000120e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.940894385000000000e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.938974385000000211e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.937044385000000091e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.935114384999999970e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.933194385000000182e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.931264385000000061e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.929334384999999941e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.927404384999999820e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.925484385000000032e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.923554384999999911e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.921624384999999791e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.919704385000000002e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.917774384999999882e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.915844384999999761e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.913914385000001062e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.911994384999999852e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.910064384999999731e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.908134385000001032e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.906214384999999822e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.904284384999999702e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.902354385000001002e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.900424385000000882e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.898504384999999672e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.896574385000000973e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.894644385000000852e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.892724385000001064e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.890794385000000943e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.888864385000000823e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.886934385000000702e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.885014385000000914e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.883084385000000793e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.881154385000000673e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.879234385000000884e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.877304385000000764e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.875374385000000643e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.873454385000000855e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.871524385000000734e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.869594385000000614e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.867664385000000493e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.865744385000000705e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.863814385000000584e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.861884385000000464e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.859964385000000675e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.858034385000000555e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.856104385000000434e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.854174385000000314e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.852254385000000525e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.850324385000000404e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.848394385000000284e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.846474385000000495e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.844544385000000375e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.842614385000000254e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.840684385000000134e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.838764385000000345e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.836834385000000225e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.834904385000000104e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.832984385000000316e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.831054385000000195e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.829124385000000075e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.827194384999999954e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.825274385000000166e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.823344385000000045e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.821414384999999925e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.819494385000000136e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.817564385000000016e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.815634384999999895e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.813704384999999775e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.811784384999999986e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.809854384999999866e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.807924384999999745e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.806004384999999957e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.804074384999999836e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.802144384999999716e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.800214385000001016e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.798294384999999806e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.796364384999999686e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.794434385000000987e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.792514384999999777e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.790584384999999656e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.788654385000000957e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.786724385000000836e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.784804385000001048e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.782874385000000927e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.780944385000000807e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.779024385000001018e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.777094385000000898e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.775164385000000777e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.773244385000000989e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.771314385000000868e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.769384385000000748e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.767454385000000627e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.765534385000000839e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.763604385000000718e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.761674385000000598e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.759754385000000809e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.757824385000000689e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.755894385000000568e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.753964385000000448e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.752044385000000659e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.750114385000000539e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.748184385000000418e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.746264385000000630e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.744334385000000509e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.742404385000000389e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.740474385000000268e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.738554385000000480e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.736624385000000359e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.734694385000000239e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.732774385000000450e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.730844385000000329e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.728914385000000209e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.726984385000000088e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.725064385000000300e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.723134385000000179e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.721204385000000059e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.719284385000000270e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.717354385000000150e+01 0.000000000000000000e+00 -0.000000000000000000e+00
