# energy d(up) d(down)
-9.865318718999999703e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.863428718999999489e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.861538718999999276e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.859648718999999062e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.857758718999998848e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.855868719000000056e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.853978718999999842e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.852088718999999628e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.850198718999999414e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.848308718999999201e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.846418718999998987e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.844528719000000194e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.842638718999999980e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.840748718999999767e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.838858718999999553e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.836968718999999339e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.835078718999999126e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.833188718999998912e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.831298719000000119e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.829408718999999905e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.827518718999999692e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.825628718999999478e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.823738718999999264e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.821848718999999051e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.819958718999998837e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.818068719000000044e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.816178718999999830e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.814288718999999617e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.812398718999999403e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.810498718999998857e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.808608719000000065e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.806718718999999851e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.804828718999999637e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.802938718999999423e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.801048718999999210e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.799158718999998996e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.797268719000000203e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.795378718999999990e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.793488718999999776e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.791598718999999562e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.789708718999999348e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.787818718999999135e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.785928718999998921e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.784038719000000128e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.782148718999999915e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.780258718999999701e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.778368718999999487e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.776478718999999273e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.774588718999999060e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.772698718999998846e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.770808719000000053e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.768918718999999840e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.767028718999999626e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.765138718999999412e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.763248718999999198e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.761358718999998985e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.759468719000000192e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.757578718999999978e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.755688718999999764e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.753788718999999219e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.751898718999999005e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.750008719000000212e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.748118718999999999e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.746228718999999785e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.744338718999999571e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.742448718999999357e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.740558718999999144e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.738668718999998930e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.736778719000000137e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.734888718999999924e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.732998718999999710e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.731108718999999496e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.729218718999999282e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.727328718999999069e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.725438718999998855e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.723548719000000062e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.721658718999999849e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.719768718999999635e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.717878718999999421e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.715988718999999207e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.714098718999998994e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.712208719000000201e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.710318718999999987e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.708428718999999774e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.706538718999999560e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.704648718999999346e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.702758718999999132e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.700868718999998919e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.698978719000000126e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.697078718999999580e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.695188718999999367e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.693298718999999153e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.691408718999998939e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.689518719000000146e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.687628718999999933e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.685738718999999719e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.683848718999999505e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.681958718999999292e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.680068718999999078e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.678178718999998864e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.676288719000000071e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.674398718999999858e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.672508718999999644e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.670618718999999430e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.668728718999999217e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.666838718999999003e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.664948719000000210e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.663058718999999996e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.661168718999999783e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.659278718999999569e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.657388718999999355e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.655498718999999141e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.653608718999998928e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.651718719000000135e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.649828718999999921e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.647938718999999708e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.646048718999999494e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.644158718999999280e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.642268718999999066e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.640378718999998853e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.638478718999999728e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.636588718999999514e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.634698718999999301e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.632808718999999087e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.630918718999998873e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.629028719000000081e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.627138718999999867e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.625248718999999653e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.623358718999999439e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.621468718999999226e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.619578718999999012e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.617688719000000219e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.615798719000000006e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.613908718999999792e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.612018718999999578e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.610128718999999364e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.608238718999999151e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.606348718999998937e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.604458719000000144e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.602568718999999930e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.600678718999999717e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.598788718999999503e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.596898718999999289e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.595008718999999076e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.593118718999998862e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.591228719000000069e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.589338718999999855e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.587448718999999642e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.585558718999999428e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.583668718999999214e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.581768719000000090e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.579878718999999876e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.577988718999999662e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.576098718999999448e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.574208718999999235e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.572318718999999021e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.570428719000000228e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.568538719000000015e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.566648718999999801e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.564758718999999587e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.562868718999999373e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.560978718999999160e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.559088718999998946e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.557198719000000153e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.555308718999999940e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.553418718999999726e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.551528718999999512e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.549638718999999298e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.547748718999999085e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.545858718999998871e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.543968719000000078e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.542078718999999865e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.540188718999999651e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.538298718999999437e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.536408718999999223e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.534518718999999010e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.532628719000000217e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.530738719000000003e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.528848718999999790e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.526958718999999576e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.525058718999999030e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.523168719000000237e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.521278719000000024e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.519388718999999810e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.517498718999999596e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.515608718999999383e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.513718718999999169e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.511828718999998955e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.509938719000000162e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.508048718999999949e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.506158718999999735e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.504268718999999521e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.502378718999999307e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.500488718999999094e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.498598718999998880e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.496708719000000087e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.494818718999999874e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.492928718999999660e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.491038718999999446e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.489148718999999232e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.487258718999999019e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.485368719000000226e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.483478719000000012e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.481588718999999799e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.479698718999999585e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.477808718999999371e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.475918718999999157e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.474028718999998944e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.472138719000000151e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.470248718999999937e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.468348718999999392e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.466458718999999178e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.464568718999998964e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.462678719000000171e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.460788718999999958e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.458898718999999744e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.457008718999999530e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.455118718999999317e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.453228718999999103e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.451338718999998889e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.449448719000000096e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.447558718999999883e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.445668718999999669e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.443778718999999455e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.441888718999999242e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.439998718999999028e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.438108719000000235e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.436218719000000021e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.434328718999999808e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.432438718999999594e+01 0.000000000000000000e+00 -0.000000000000000000e+00
